label,domain,m,copy_density,fp,localized,weighted,wedge,wedge_pred,edge_local,heavy,best
contact-primary-school,contact,8317,11.857761211975472,2075.3324773140084,457.6393594466241,406.6224913282479,119.28527730740241,192.78786470474887,2810.5747618126184,2283.350377948779,wedge
contact-high-school,contact,5818,5.474389824682022,3840.906509614887,495.11761361760017,514.9068455567813,141.75510204081633,195.82294623456553,2255.9913244982313,1935.6982242878737,wedge
email-Enron,email,1800,1.8427777777777778,6411.908350919504,1344.8603402375586,783.5623808630766,482.07215355240663,515.7825892540661,4682.177515994587,924.5152555236687,wedge
email-Eu,email,29299,8.007099218403358,5946.390362808621,1082.5760588246196,613.9075058334438,366.1256038647343,1008.8739890259448,18966.9811246404,8333.016797324402,wedge
NDC-classes,drugs,6222,1.45676631308261,15215.10951856405,3080.194411866892,675.3303534207041,853.5304501323917,523.1822058980096,23792.170902533388,2048.132600088573,wedge_pred
NDC-substances,drugs,88268,12.873940725970908,6427.323412639187,1166.9760412354783,466.1408438168275,468.54069627766614,1573.546375954751,58714.124406172064,23617.0980246916,weighted
DAWN,drugs,122963,46.21351138147248,2046.1657037958535,422.99931562200834,263.97271561832554,186.6628826290253,594.1613136318767,38494.88328113596,31100.65762860445,wedge
congress-bills,legislation,424932,105.56386668925852,1646.5837797261072,360.73578867823903,318.2924682501997,95.33341455246489,230.41770008560357,18731.673441654184,18723.713870390293,wedge
tags-math-sx,tags,91685,29.081670938539563,2844.9286837409827,502.6891809254718,309.0695089748977,228.1548867185503,696.4137094859633,35110.9506045695,20124.08271024186,wedge
tags-ask-ubuntu,tags,132703,24.777570966745287,4058.4035729413677,636.4721823382199,324.22683516459415,377.9772437104211,1328.5052539706915,70775.0057968617,29408.463836958046,weighted
